Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,Survived
0.0,0.3693371034166307,0.0,0.0,0.0595320352617028,1.0,0.0,1.0,0.0
1.0,0.3340035184719778,0.0,0.3333333333333333,0.0217307543665283,0.0,0.0,1.0,1.0
0.5,0.3693371034166307,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1.0,0.107816034179442,0.5,0.3333333333333333,0.0610447345183526,0.0,0.0,1.0,0.0
0.0,0.5978889168132697,0.125,0.0,0.0772940523397846,0.0,0.0,0.0,1.0
0.5,0.2586076903744659,0.125,0.0,0.0224465050986748,1.0,0.0,1.0,1.0
1.0,0.3693371034166307,0.0,0.0,0.0151269925664982,1.0,1.0,0.0,0.0
1.0,0.2334757476752953,0.0,0.0,0.0157125535690723,1.0,0.0,1.0,1.0
1.0,0.2586076903744659,0.0,0.0,0.014151057562208,1.0,0.0,1.0,0.0
1.0,0.3693371034166307,0.0,0.0,0.0154115752137492,1.0,0.0,1.0,0.0
1.0,0.3693371034166307,0.0,0.0,0.015102594191391,1.0,1.0,0.0,0.0
0.0,0.5224930887157577,0.125,0.0,0.1025789668049371,1.0,0.0,1.0,1.0
0.5,0.2837396330736366,0.0,0.0,0.0293674457750992,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.1666666666666666,0.0166234913020768,1.0,0.0,0.0,1.0
1.0,0.3693371034166307,0.375,0.1666666666666666,0.049707687947515,0.0,0.0,1.0,0.0
0.5,0.3465694898215631,0.0,0.0,0.0253743101115454,0.0,0.0,1.0,1.0
0.0,0.3693371034166307,0.0,0.0,0.0579705392548384,1.0,0.0,0.0,1.0
1.0,0.3465694898215631,0.0,0.0,0.0439658719432739,1.0,0.0,1.0,0.0
1.0,0.1957778336265393,0.0,0.0,0.0157125535690723,1.0,0.0,1.0,0.0
1.0,0.4470972606182458,0.0,0.0,0.0154115752137492,1.0,0.0,1.0,1.0
1.0,0.1957778336265393,0.125,0.1666666666666666,0.0395253676737535,1.0,0.0,1.0,0.0
1.0,0.1769288766021613,0.125,0.0,0.0282127194780231,0.0,0.0,0.0,0.0
0.0,0.5601910027645137,0.0,0.0,0.0518221487278101,1.0,0.0,1.0,0.0
1.0,0.3693371034166307,0.0,0.0,0.0147366185647821,0.0,0.0,1.0,0.0
0.5,0.3465694898215631,0.0,0.0,0.0246911556085423,0.0,0.0,1.0,1.0
1.0,0.5601910027645137,0.0,0.0,0.0151269925664982,0.0,0.0,1.0,0.0
0.5,0.3842674038703191,0.0,0.0,0.0204946350900944,1.0,0.0,1.0,0.0
1.0,0.2334757476752953,0.125,0.0,0.0153303774213923,0.0,0.0,1.0,1.0
1.0,0.1329479768786127,0.0,0.0,0.0366707577862046,1.0,0.0,0.0,0.0
1.0,0.4345312892686604,0.0,0.0,0.0157125535690723,1.0,0.0,1.0,0.0
1.0,0.3465694898215631,0.0,0.0,0.1102724576307577,1.0,0.0,1.0,0.0
1.0,0.2963056044232219,0.0,0.0,0.0154115752137492,1.0,0.0,1.0,0.0
